Index,Phase 1,Phase 2,Phase 3,Phase 4,Phase 5,Phase 6,Phase 7,Phase 8,Phase 9,Phase 10,Phase 11
54,0.06395815291372058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.02088228575367643,0.0,0.021398740500564447,0.04263835718855909,0.03730074939407851,0.0,0.0007556534642010115,0.0,0.009674711331264602,0.0,0.0
64,0.03197907645686029,0.032688855505214345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.03197907645686029,0.07611526188430619,0.015428242236913385,0.03887019628715272,0.012421767424734486,0.013849499360128824,0.00015113069284020228,0.013435957580571933,0.034919351907378285,2.1282941724235769e-10,0.0
86,0.0,0.0,0.15351982266383388,0.011894583433369906,4.376538968688779e-61,0.0,0.0,0.00012813099530914276,0.0,5.291619656819171e-13,1.602659154896752e-96
55,0.0,0.043445726321252064,0.01542345092774203,0.0,0.03726530227420346,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.032669535563054124,0.01542345092774203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.010861431580313016,0.010282300618494687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.021722863160626032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.010861431580313016,0.0,0.0038762142898690084,0.012421767424734486,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.010861431580313016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.043488346732309606,0.02570575154623672,0.03517355270934944,0.08695237197314142,0.029318092933992148,0.00636778885801982,0.006089690774654961,0.07464167810163207,9.30690163938406e-11,1.821156025635965e-05
9,0.0,0.05430715790156508,0.08901340464408335,0.05890613996112185,0.0009473120537282645,0.009521252536422558,0.09163848689318926,0.006170397897992789,0.0,3.956382186539993e-13,0.0
11,0.0,2.1076593084338796e-07,0.00039189040896463087,0.011628642869607023,0.0,0.0,0.00015113069284020228,0.04262148335880984,0.009674711331264602,0.0,3.5897461828850013e-06
12,0.0,0.0,0.010881933961814175,0.000216106776925274,0.02574344006562357,0.05410811435806796,5.981405276242391e-31,7.850480072879831e-05,0.0025047820429716346,2.0383415971886335e-05,0.9065354231188992
48,0.0,0.0,0.010282300618494687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.015428756500345149,0.0,0.012421767424734486,0.0,0.0,0.00032654268466456244,0.0,0.0,0.0
35,0.0,0.0,0.005141150309247344,2.6966130296360594e-05,0.0,0.0,0.0,7.028069404627691e-05,0.0,0.0,0.0
32,0.0,0.0,0.005146455881850464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.022152576762834657,3.32425704703601e-05,0.0,0.0,0.0,0.006088783336972834,0.0,3.040420246319395e-11,0.0
49,0.0,0.0,0.01542345092774203,0.0038769926233760783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0013182370910639679,0.0001720898527408085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.01542345092774203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.00029981667165974334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.010282300618494687,0.027133500029083057,1.5615576420346734e-06,0.0005678004178004974,0.0,1.543648826331262e-05,7.099780131331433e-05,0.0,0.018918234186866882
51,0.0,0.0,0.0,1.4729617883668587e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.005937558990573616,0.007818913720678736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,1.0365047126906192e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,1.5566670141410302e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0007571520527455295,0.013987112188328732,0.0001892668059334991,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,7.783335070705151e-07,0.0,0.0038677291338970166,0.00030226138568040456,0.0064638981444949785,0.0004614857085365431,0.5947500340917793,0.0018591491525309569
106,0.0,0.0,0.0,0.003909456860339368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.027133500029083057,0.02484353484946897,0.00025642066411544383,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.00032927934386228313,0.005867270983938472,0.0,0.0,0.0,0.020631743583899353,0.0001747612338539293
