OffenderID,E Centrality,#ofCrimes
79651,0.0009426071945872891,3
341303,0.0009426071945872891,1
427573,0.0009426071945872891,2
386680,0.0009426071945872891,4
387239,0.0009426071945872891,3
129905,0.0009426071945872891,1
303961,0.0009426071945872891,1
131758,0.0009426071945872891,1
220791,0.0009426071945872891,4
264817,0.0009426071945872891,3
41889,0.0009426071945872891,1
89530,0.0009426071945872891,1
222959,0.0009426071945872891,1
308414,0.0009426071945872891,1
91089,0.0009426071945872891,4
225416,0.0009426071945872891,3
310764,0.0009426071945872891,1
268773,0.0009426071945872891,2
93992,0.0009426071945872891,1
311832,0.0009426071945872891,1
96001,0.0009426071945872891,1
356294,0.0009426071945872891,1
185555,0.0009426071945872891,1
97071,0.0009426071945872891,1
273610,0.0009362823365651942,15
329012,0.0009362823365651942,5
444656,0.0009300417990788168,2
84396,0.0009300417990788168,2
436246,0.0009300417990788168,3
169472,0.0007871556041582645,4
273166,0.0007870832737666112,1
316953,0.0007870832737666112,1
145080,0.0007870832737666112,2
54178,0.0007870832737666112,1
408714,0.0007870832737666112,3
285402,0.0007870832737666112,1
370573,0.0007870832737666112,1
202768,0.0007870832737666112,1
114497,0.0007870832737666112,1
160558,0.0007870832737666112,1
418405,0.0007870832737666112,1
291374,0.0007870832737666112,1
250445,0.0007870832737666112,1
24951,0.0007870832737666112,3
293799,0.0007870832737666112,1
422530,0.0007870832737666112,1
209835,0.0007870832737666112,1
29885,0.0007870832737666112,1
298770,0.0007870832737666112,1
214081,0.0007870832737666112,2
385658,0.0007870832737666112,1
34446,0.0007870832737666112,1
128149,0.0007870832737666112,2
259460,0.0007870832737666112,1
218567,0.0007870832737666112,2
130910,0.0007870832737666112,1
175437,0.0007870832737666112,1
131092,0.0007870832737666112,2
133974,0.0007870832737666112,3
307541,0.0007870832737666112,3
136322,0.0007870832737666112,2
93364,0.0007870832737666112,1
46252,0.0007870832737666112,1
140159,0.0007870832737666112,2
355878,0.0007870832737666112,1
271741,0.0007870832737666112,1
96348,0.0007819105575702726,5
400630,0.0007818022903929415,2
238849,0.0007818022903929415,6
60736,0.0007818015590574377,3
228079,0.0006676909165416805,9
319100,0.0006676909064887565,9
357765,0.0006676602336202023,2
445568,0.0006676602336202023,1
145717,0.0006676602336202023,1
525903,0.0006676602336202023,1
146728,0.0006676602336202023,8
146744,0.0006676602336202023,1
448027,0.0006676602336202023,3
407724,0.0006676602336202023,1
492679,0.0006676602336202023,2
533826,0.0006676602336202023,1
458632,0.0006676602336202023,3
373433,0.0006676602336202023,1
294243,0.0006676602336202023,1
122032,0.0006676602336202023,2
541511,0.0006676602336202023,1
541816,0.0006676602336202023,2
135994,0.0006676602336202023,6
520179,0.0006676602336202023,1
482351,0.0006676602336202023,3
355456,0.0006676602336202023,1
32923,0.0006492338791130647,2
154381,0.0006484531199149782,7
20080,0.0006470239341071014,2
75783,0.0006470239341071014,14
308489,0.0006470239341071014,3
230838,0.0006469942106183882,2
275655,0.0006469942106183882,4
362060,0.0006469942106183882,1
154925,0.0006469942106183882,1
21772,0.0006469942106183881,1
23610,0.0006469942106183881,1
