OffenderID,B Centrality,#ofCrimes
579592,0.04228059047271177,28
484348,0.041872344846678754,9
98878,0.04155023587118118,7
333762,0.04142126989488259,48
493144,0.04125014814754388,22
606812,0.039444549718982015,11
546467,0.03879708122378237,9
573636,0.03869989803698254,8
555352,0.03854493748232449,4
140728,0.038544919264967344,42
631792,0.03817108297663507,4
174814,0.03810384876421137,14
597773,0.038084884724645024,15
577709,0.037923908150886296,18
154381,0.03788743065347782,7
534079,0.037868849182819686,9
443888,0.037631998084984235,56
397803,0.036984414182428774,35
618173,0.03694564125811389,8
628407,0.03687682117357093,23
600207,0.03662082746570042,5
331832,0.0364109946585111,31
605267,0.03596859840724877,23
32923,0.0357010085977805,2
542651,0.03552582818132457,9
568796,0.03516970408456141,14
570862,0.035023797186775084,30
539480,0.034990453909742814,2
489002,0.03479154400783264,5
615307,0.03465444002039509,15
566760,0.034598245522411794,14
427881,0.03417614913707652,11
592439,0.03385102928647182,37
362077,0.033574436212617194,11
621948,0.033416489419283414,2
536129,0.033221346688359576,17
380609,0.03320011409896495,44
617773,0.03319934503435269,16
610898,0.03301200697949574,20
395620,0.03293870069956802,2
553904,0.03267877920386189,18
481158,0.03241534317022956,11
443211,0.03230110048003299,14
549137,0.032124691985576284,32
362627,0.031978714372851665,8
624936,0.03165733945953008,7
502388,0.0314865085128681,25
605832,0.03127079870836992,29
442825,0.03112273533886272,29
611780,0.031069912351232725,15
399885,0.030796943804073457,16
562060,0.03021074489149,26
474975,0.030047535162932532,17
228079,0.029796789871015028,9
625598,0.02966607303991551,20
477777,0.029572325309286655,42
265320,0.029290710441336243,39
542096,0.029239312417361017,16
407968,0.028999931913073887,3
628665,0.02884957452671286,21
397976,0.028797582554445457,6
618921,0.028789679665413074,12
424056,0.028447667734171317,4
418299,0.02842891830941374,20
567236,0.02839281011405885,11
295417,0.028278139083510997,28
624190,0.027632291022070495,19
596100,0.027579354344009977,8
299574,0.027431613740699776,30
456002,0.0269680212348531,16
276137,0.02690659118183642,8
538078,0.02677498032322905,10
532456,0.026732047455250554,18
556800,0.02666049515360814,8
541721,0.02661395058750928,3
320179,0.026545953254812505,31
497767,0.026273810567799455,22
640915,0.026087398313556356,3
528101,0.02578615052511484,18
605919,0.025747725623645346,27
516700,0.025571438456200753,6
452899,0.025453966837917976,7
657979,0.02544975126177257,6
552804,0.025008114060470068,22
424373,0.02477670956088717,33
563937,0.024385473127959037,2
573592,0.02425865007927464,10
585642,0.02418280772693341,24
589258,0.024169713405186113,7
498050,0.023882019081160877,19
